Auburn State Bank,Auburn,NE,68305,6/30/16,SM,169443,142029,810,83802,2743,2440,6692,118,32,13792,143
AuburnBank,Auburn,AL,36830,6/30/16,SM,846821,756431,4253,432261,9117,8787,76219,312,285,2386,29
Audubon Savings Bank,Audubon,NJ,8106,6/30/16,SB,176495,164495,-443,103167,10,1371,26280,37,91,0,0
Audubon State Bank,Audubon,IA,50025,6/30/16,NM,106204,95553,919,78738,3687,2243,8597,133,51,23651,325
Austin Bank  Texas National Association,Jacksonville,TX,75766,6/30/16,N,1552168,1350281,8729,1205568,97557,64127,214643,2494,929,66224,1389
Austin Capital Bank SSB,Austin,TX,78757,6/30/16,SB,95826,85032,421,73217,908,100,10425,3,24,0,0
Austin County State Bank,Bellville,TX,77418,6/30/16,NM,133087,119814,863,99148,3632,6361,20982,245,86,7648,113
Auto Club Trust  FSB,Dearborn,MI,48126,6/30/16,SA,384045,319052,-427,224365,29574,0,0,0,0,0,0
AVB Bank,Broken Arrow,OK,74012,6/30/16,NM,305340,267428,619,205434,1492,2472,24536,99,118,1050,4
Avenue Bank,Nashville,TN,37203,6/30/16,NM,1224181,1103106,4439,982130,14813,7510,103199,251,347,0,0
Avidbank,Palo Alto,CA,94301,6/30/16,NM,639964,577273,4935,418809,5703,983,44403,17,165,0,0
Avidia Bank,Hudson,MA,1749,6/30/16,SB,1338449,1221092,3991,1037289,7271,23124,213252,1228,921,98,1
Avon Co-operative Bank,Avon,MA,2322,6/30/16,SM,90756,81343,122,69441,495,2424,0,13,0,0,0
Avon State Bank,Avon,MN,56310,6/30/16,NM,105284,92036,520,41154,3769,2289,3463,52,24,5448,116
Axiom Bank,Maitland,FL,32751,6/30/16,SA,663135,567043,1802,494861,44,553,6166,18,22,0,0
BandL Bank,Lexington,MO,64067,6/30/16,NM,121567,106157,371,73722,2082,3056,7419,109,45,13227,170
BAC Community Bank,Stockton,CA,95202,6/30/16,NM,550951,495732,1804,323364,8602,4312,68549,139,303,4989,27
BAC Florida Bank,Coral Gables,FL,33134,6/30/16,NM,1865329,1712647,6162,1480546,5952,33,11580,2,27,0,0
Badger Bank,Fort Atkinson,WI,53538,6/30/16,NM,130153,115161,552,82847,3904,3404,18787,132,83,428,8
Baker-Boyer National Bank,Walla Walla,WA,99362,6/30/16,N,569651,518761,2487,293434,5141,3724,59023,248,238,12971,107
Balboa Thrift and Loan Association,Chula Vista,CA,91910,6/30/16,NM,235542,198837,681,211674,178264,108,16624,2,55,0,0
Ballinger National Bank,Ballinger,TX,76821,6/30/16,N,46145,41542,175,16950,1606,2081,1428,111,10,6062,136
Ballston Spa National Bank,Ballston Spa,NY,12020,6/30/16,N,413496,377054,1310,295844,21508,5732,31965,222,154,0,0
Bally Savings Bank,Bally,PA,19503,6/30/16,SB,52979,48090,205,29648,28,0,618,0,3,1064,7
Banamex USA,Century City,CA,90067,6/30/16,NM,185475,94626,0,36129,19568,25,0,7,0,0,0
BANC OF CALIFORNIA  NATIONAL ASSOCIATION,Irvine,CA,92612,6/30/16,N,10153768,9131059,53969,7129275,20087,10029,192399,476,712,0,0
BancCentral  National Association,Alva,OK,73717,6/30/16,N,445648,397675,2173,219208,4684,6345,32763,211,140,47070,555
BancFirst,Oklahoma City,OK,73102,6/30/16,NM,6670084,6028887,34066,4337063,272387,124867,505203,5678,2420,231105,4537
Banco do Brasil Americas,Miami,FL,33134,6/30/16,NM,421901,366477,185,293495,3257,335,11807,7,24,0,0
Banco Popular de Puerto Rico,Hato Rey,PR,919,6/30/16,SM,29039000,25236000,160000,18042000,3244000,82000,1001000,2996,5210,9000,72
Banco Santander Puerto Rico,San Juan,PR,917,6/30/16,NM,5254140,4389132,13962,3839925,467637,35621,336427,1087,1643,1499,26
BancorpSouth Bank,Tupelo,MS,38804,6/30/16,NM,14117193,12519804,59642,10786148,239168,220346,1495351,10239,6710,176097,3267
Bancroft State Bank,Bancroft,WI,54921,6/30/16,NM,68989,60617,414,44060,2302,2610,9468,96,51,3273,47
Bandera Bank,Bandera,TX,78003,6/30/16,NM,57950,51560,318,32708,2809,2515,5181,151,28,644,7
Banesco USA,Coral Gables,FL,33134,6/30/16,NM,987003,894387,2166,725427,265,569,29186,13,89,0,0
Bangor Savings Bank,Bangor,ME,4401,6/30/16,SB,3457398,3087116,10982,2408213,16223,34619,256032,1802,984,5093,163
Bank,Wapello,IA,52653,6/30/16,SM,71699,61043,83,60786,7166,1801,7441,74,34,14205,179
Bank and Trust Company,Litchfield,IL,62056,6/30/16,NM,283459,252888,970,201274,19417,8241,29696,351,147,19577,243
Bank @LANTEC,Virginia Beach,VA,23452,6/30/16,SA,112248,99452,17,94186,760,211,10700,13,32,0,0
Bank 1st,West Union,IA,52175,6/30/16,SM,118381,103840,788,86421,3189,2201,5938,119,33,38176,394
Bank 2,Oklahoma City,OK,73108,6/30/16,SM,127324,110909,702,79588,1997,979,15413,36,59,268,4
Bank 21,Carrollton,MO,64633,6/30/16,NM,96601,88181,608,82341,1606,1605,0,28,0,11437,151
BANK 34,Alamogordo,NM,88310,6/30/16,SA,287750,257319,475,228859,347,12982,82728,46,136,439,2
