name,city,stalp,zip,repdte,number_of_employees,asset,liabilities,deposits,common_stock,derivatives,total_securities,asset_backed_securities,mortgage_backed_securities,1_4_family_residential_loans,home_equity_loans,adjustable_rate_loans_secured_by_1-4_family_residential,total_loans,individual_loans,micro_amount,micro_number,small_business_amount,small_business_number,agg_amount,agg_number,other_real_estate_owned,real_estate_acquired,other_real_estate_owned_1-4_family,other_real_estate_owned_multi-family_residential,other_real_estate_owned_commercial_real_estate,other_real_estate_owned_construction_development,other_real_estate_owned_farmland,foreclosed_properties_from_GNMA_loans,total_deposits,net_interest_margin,noninterest_income_to_average_assets,noninterest_expense_to_average_assets,loan_and_lease_loss_provision_to_assets,net_operating_income_to_assets,roa,roe,retained_earnings_to_average_equity,net_charge_offs_to_loans,net_loans_and_leases_to_total_assets,net_loans_and_leases_to_deposits,net_loans_and_leases_to_core_deposits,total_domestic_deposits_to_total_assets,average_total_assets,average_earning_assets,average_equity,average_total_loans,number_domestic_offices,number_of_offices_in_insured_other_areas,cbsa_metro
AIMBank,Littlefield,TX,79339,6/30/16,182,820544,740298,732645,979,14233,122750,0,111732,109520,177,11196,648052,10785,24290,1045,89017,368,45485,476,484,484,79,0,0,405,0,0,732645,3.838183189,0.805871791,2.939671755,0.544964168,0.940183756,0.947176659,9.978068825,3.805281848,0.357938786,77.66993604,86.98837773,108.7779725,89.28771644,829412.33,782036.67,78732.67,636421.67,15,0,
Alamerica Bank,Birmingham,AL,35205,6/30/16,8,35220,29591,29459,1,0,1333,0,1333,4711,488,0,24964,216,1558,31,7424,35,709,5,5089,5089,0,0,1654,3435,0,0,29459,4.818551423,0.9612268,4.468560303,0,0.154482879,0.154482879,0.961310801,0.961310801,-5.82E-02,69.48892675,83.07817645,92.33032784,83.64281658,34955.33,26564,5617.33,24058,1,0,13820
Alamosa State Bank,Alamosa,CO,81101,6/30/16,35,230081,209087,208638,300,0,57750,0,0,22423,208,4632,116012,8417,4577,212,22421,92,9197,173,0,0,0,0,0,0,0,0,208638,3.394969565,0.25062291,1.668482587,7.97E-02,1.740339506,1.740339506,19.55013043,7.904710341,-4.50E-02,49.67207201,54.77717386,57.54755934,90.6802387,228231.33,217675,20317,115528.33,2,0,
Albany Bank and Trust Company National Association,Chicago,IL,60625,6/30/16,70,547942,462472,460500,0,0,132724,0,0,36346,12062,7755,368841,1401,1161,33,68374,183,217,1,0,0,0,0,0,0,0,0,460500,3.080260338,0.202584584,1.974932668,0.106810853,0.653682419,0.653682419,4.335573891,3.084019337,-2.88E-02,66.62000723,79.27014115,92.28853646,84.04174164,561740.67,536902.67,84694.67,354433.67,4,0,16980
Albina Community Bank,Portland,OR,97212,6/30/16,45,167122,149725,147693,11675,0,27592,1031,25960,9581,5492,1393,111076,837,4836,153,52097,153,133,1,0,0,0,0,0,0,0,0,147693,3.632818971,0.793443717,3.906276373,0,0.194776093,0.194776093,1.892304647,1.892304647,-2.95E-02,65.22001891,73.79970615,78.50773575,88.37436125,167371.67,156958,17227.67,108646,5,0,38900
Alden State Bank,Alden,NY,14004,6/30/16,57,287702,251978,247457,263,0,50180,0,10794,144668,0,0,210125,4582,8293,249,32246,157,34,4,1057,1057,832,0,225,0,0,0,247457,3.957391255,0.51577142,2.343518774,0.31284496,1.050567195,1.050567195,8.450225283,4.732352858,0.521227985,72.19240742,83.93337024,88.66022948,86.01156752,283846.67,264265,35289,210272.67,2,0,15380
Alden State Bank,Alden,MI,49612,6/30/16,39,178171,156123,153985,1560,0,21394,0,10005,57644,7409,1760,138026,5566,10561,379,36890,183,125,3,108,108,108,0,0,0,0,0,153985,4.59461149,0.72403649,2.820348389,0,1.461648664,1.461648664,12.00167392,8.016597981,7.36E-03,75.94389659,87.87219534,89.05899311,86.42540032,176786.67,159970,21530.33,135780,4,0,
Alerus Financial  National Association,Grand Forks,ND,58201,6/30/16,810,1929874,1706256,1679451,4100,22524,269304,861,183285,427774,141293,60576,1428776,86154,42842,1659,293756,1341,33980,501,1851,1851,432,0,25,1394,0,0,1679451,3.809060349,5.407067345,7.381257819,0.214311865,0.857760128,0.861239544,7.531073371,3.695719465,7.51E-02,73.19374218,84.10766375,90.72759504,87.02386788,1903767.67,1719321.67,217711.33,1325439,22,0,24220
Algonquin State Bank  National Association,Algonquin,IL,60102,6/30/16,29,137812,120690,120076,300,0,74625,0,30529,22256,3478,0,35785,682,276,15,4061,13,0,0,1618,1618,98,0,1426,94,0,0,120076,2.581405579,0.52395618,3.206432689,-0.119420212,-0.241825929,0.773245872,6.60405563,6.60405563,-0.551393069,25.56018344,29.33558746,29.65341909,87.13029344,133980.67,120477,15687.33,35546.33,4,0,16980
All America Bank,Oklahoma City,OK,73128,6/30/16,111,367519,324914,304442,1608,0,84159,0,83949,42923,2329,3157,254767,7388,9872,424,27785,131,57423,954,235,235,235,0,0,0,0,0,304442,4.298696815,0.536667242,3.206326918,0.217183379,1.131870055,1.131870055,9.702909935,-0.361103946,3.92E-02,68.8783437,83.14917127,90.58089772,82.83707781,365589.67,341778,42647,245073.33,7,0,36420
Allegheny Valley Bank of Pittsburgh,Pittsburgh,PA,15201,6/30/16,92,432059,382286,322082,390,0,104929,0,56414,133161,9741,16058,294543,1153,5953,152,52592,199,0,0,80,80,20,0,0,60,0,0,322082,3.544969249,0.490056445,2.745826866,9.44E-02,0.736161093,0.744999105,6.482445533,3.196034617,0.044097889,67.31210321,90.29625996,94.39494705,74.54583749,423624.67,394136,48685.33,290263.33,9,0,38300
Allegiance Bank,Houston,TX,77040,6/30/16,311,2365075,2098349,1863710,3219,0,303463,0,23603,214442,8592,20816,1753715,12270,48228,1437,441674,1656,6947,49,1397,1397,0,0,1397,0,0,0,1863710,4.293455565,0.406389537,2.506008742,0.212205623,1.08184319,1.08184319,9.309225752,9.309225752,6.24E-02,73.51978267,93.2976697,108.7773296,78.80130651,2219545.33,2016278,257937.67,1717514.67,16,0,26420
Alliance Bank,Francesville,IN,47946,6/30/16,69,296547,261022,245341,800,0,111259,0,56591,21299,4066,2586,165873,1493,6320,301,25332,137,46862,453,0,0,0,0,0,0,0,0,245341,3.542642016,0.624141742,2.621931637,0,1.277781053,1.31867541,11.45369319,4.990246601,0,54.60584663,66.00282872,69.05857518,82.73258539,298329.67,275839.33,34347,165499.33,7,0,
Alliance Bank,Lake City,MN,55041,6/30/16,130,576285,508554,490979,500,8931,64190,0,27509,45848,15681,482,450785,6395,10776,414,61417,325,46309,541,8437,8437,1565,0,170,6702,0,0,490979,3.950155013,0.586528038,2.930582194,0,1.414527267,1.414527267,11.92890097,-18.17392939,-0.201168756,76.56159713,89.86392493,99.39669874,85.19725483,583092.33,554813.67,69143,458321.67,10,0,40340
Alliance Bank,Sulphur Springs,TX,75482,6/30/16,188,684082,616213,597813,2500,863,293939,0,260328,63008,0,44970,330632,9735,11409,676,45004,192,13284,316,624,624,0,0,0,624,0,0,597813,2.977650813,1.457313757,3.232073836,0,0.956747939,1.006716341,10.3944315,5.921032366,8.63E-02,47.58230738,54.44879921,55.84901128,87.38908493,680430,624183.33,65900.67,319789.33,12,0,
Alliance Bank,Mondovi,WI,54755,6/30/16,47,164521,148269,142408,100,0,31790,0,10162,29542,1188,0,113556,5705,5010,209,15677,151,25175,450,119,119,0,0,119,0,0,0,142408,3.347411231,0.483123714,2.897503508,3.72E-02,0.729640687,0.742028474,7.53743551,3.78E-02,-2.29E-02,68.04602452,78.61215662,80.93434161,86.55916266,161449.33,153432,15894,104612.33,5,0,
Alliance Bank,Cape Girardeau,MO,63701,6/30/16,47,186078,156890,145563,3478,2150,14692,0,1934,41521,8903,9665,150077,4782,4447,174,22054,104,19737,231,33,33,0,0,33,0,0,0,145563,4.139033261,0.754624811,2.781462315,0.137412712,1.055787672,1.055787672,6.541790833,6.541790833,0.144237835,79.45968895,101.5759499,126.5768928,78.2268726,174656.33,158926,28188,142819.67,3,0,16020
Alliance Bank,Topeka,KS,66614,6/30/16,21,98395,87918,85988,3000,0,12599,0,1065,20220,3564,12681,67015,2865,5751,249,17004,84,1527,25,94,94,0,0,0,94,0,0,85988,3.692784336,0.394844285,2.654345871,4.13E-02,0.742141875,0.742141875,6.966139517,4.055496265,-0.233570242,67.02881244,76.70023724,77.37965342,87.39061944,96747,91692.33,10307,66789.33,2,0,45820
Alliance Bank & Trust Company,Gastonia,NC,28054,6/30/16,33,147574,137561,119122,18540,0,14774,0,2824,33651,7890,9859,111624,413,4197,136,40853,151,398,4,761,761,0,0,352,409,0,0,119122,3.795924459,0.131154177,3.343741223,0,0.353425992,0.310628313,4.544687916,4.544687916,0.331849564,74.30916015,92.05772234,94.82472373,80.72018106,144867.67,136093.33,9901.67,112701.67,6,0,16740
Alliance Bank Central Texas,Waco,TX,76710,6/30/16,52,207271,186352,179548,500,0,45121,0,37900,65353,207,19262,136376,4243,4431,164,25120,92,5634,142,1639,1639,35,0,1499,105,0,0,179548,3.50957982,0.459985644,2.956213468,0,0.580841744,0.701209538,7.002599642,4.564368569,4.27E-02,64.83010165,74.84015416,95.27368123,86.62475696,204789,185321.33,20506.67,131189,3,0,47380
Alliant Bank,Madison,MO,65263,6/30/16,50,151469,136965,132843,500,0,8977,0,3979,37230,1237,22894,117332,1872,6385,283,16772,99,28644,454,507,507,215,0,292,0,0,0,132843,4.151892687,1.146721331,3.712876144,2.66E-02,1.106812236,1.106812236,11.59581882,3.986062718,4.81E-02,76.50212255,87.22853293,97.34618099,87.70309436,150341.67,133963,14350,116397.67,5,0,
Allied Bank,Mulberry,AR,72947,6/30/16,40,66336,65015,64713,100,0,5558,0,2384,11590,398,4147,41744,2234,1201,53,9388,50,1113,14,9102,9102,375,0,5086,3146,495,0,64713,3.141556609,0.385248664,5.426502604,9.265230359,-11.75558779,-12.36923388,-223.2059727,-223.2059727,12.98056309,59.2694766,60.75595321,62.78564699,97.55336469,72680.33,59015.33,4027.67,46854.67,6,0,22900
Allied First Bank sb,Oswego,IL,60543,6/30/16,175,89618,81441,79893,608,0,10425,0,7996,41942,11965,17737,59525,1730,774,27,14414,56,0,0,771,771,620,0,0,151,0,0,79893,2.932437251,35.00734418,36.82847031,-0.357083556,0.642374523,0.648388562,8.767103794,8.767103794,-0.413642458,65.44778951,73.41444182,73.88144304,89.14838537,106417.67,92551,7870.33,60438.67,1,0,16980
AllNations Bank,Calumet,OK,73014,6/30/16,10,50650,45602,45501,500,0,20068,0,18520,1667,0,1631,20674,3777,2435,80,4007,20,3041,70,0,0,0,0,0,0,0,0,45501,3.444687964,0.389738233,3.487554493,0.361612793,-0.306486932,-0.273218555,-2.718912435,-2.718912435,4.97E-02,39.71372162,44.20781961,44.20781961,89.83415597,49777,45171,5002,20126,2,0,36420
Ally Bank,Midvale,UT,84047,6/30/16,1522,114554166,97297497,72729755,1000,7207476,12265795,1664640,10531042,11078021,1445409,3414757,85473434,31855862,4962998,195480,285870,776,0,0,9297,9297,9297,0,0,0,0,0,72729755,2.579421681,2.556256934,2.782426821,0.304262855,1.068485676,1.081401906,7.190639099,7.190639099,0.281323221,74.17593787,116.8319995,145.5774172,63.48940204,112171431.7,96862099.67,16869488,83311999.33,1,0,41620
Alma Bank,Astoria,NY,11102,6/30/16,158,1066365,943738,925726,27469,0,46555,5232,25206,26109,927,14389,901402,756,4465,130,120099,326,0,0,0,0,0,0,0,0,0,0,925726,3.795013627,0.931797738,3.225746146,0.550296705,0.478216391,0.506196935,4.399047275,3.404594981,0.048027739,82.95808658,95.5613216,114.9369016,86.81136384,1052159.67,1015859.33,121071.67,891151.67,14,0,35620
Alma Exchange Bank & Trust,Alma,GA,31510,6/30/16,25,89253,80717,80388,469,0,10426,0,0,6776,0,1594,54034,2671,3318,140,14356,62,10847,159,1958,1958,65,0,282,1611,0,0,80388,4.411317754,0.511985825,3.475639455,2.26E-02,0.595437259,0.595437259,6.281474291,6.281474291,2.98E-02,59.62712738,66.20266706,68.38115307,90.06756075,88674.33,78933.33,8405.67,53627.33,2,0,
Almena State Bank,Almena,KS,67622,6/30/16,22,66045,60162,56401,150,0,4313,0,710,7939,0,291,58520,3978,4648,185,8401,57,17140,270,0,0,0,0,0,0,0,0,56401,5.041426172,2.63251377,4.672711942,0.767816516,1.849027529,1.849027529,20.49561168,0.694766498,4.62E-02,87.54334166,102.5123668,116.4628865,85.39783481,63817.33,59784.67,5757.33,56247.67,3,0,
AloStar Bank of Commerce,Birmingham,AL,35243,6/30/16,96,1020664,836171,785451,0,0,105485,0,102842,12535,11486,704,772611,4,66,2,111,1,0,0,381,381,0,0,0,381,0,0,785451,3.628232821,0.769116982,2.747379587,0.789438757,0.48564066,0.516961077,2.725955674,2.725955674,0.638761675,74.44624284,96.74008945,108.2141194,76.95490387,964482.67,944702.33,182908.33,743626.33,1,0,13820
Alpine Bank,Glenwood Springs,CO,81601,6/30/16,585,2884097,2602203,2525002,4410,284524,642719,0,23983,814408,263071,467741,1957835,28609,19950,1884,195173,789,3320,34,8253,8253,518,0,6898,837,0,0,2525002,4.2451003,1.000982607,3.205641657,0,1.233019869,1.231842158,12.61056258,8.252826273,-0.150982476,66.88114165,76.39269197,79.20732599,87.54913583,2819030,2576382,275372.33,1881013,44,0,
Alpine Bank & Trust Co.,Rockford,IL,61107,6/30/16,361,1249617,1137479,1101812,3360,56021,327903,0,99033,137964,30346,25853,785159,78389,6572,290,78545,382,17512,161,699,699,169,0,0,530,0,0,1101812,3.05599223,1.763025284,3.549568384,3.24E-02,1.011684568,1.229738519,13.6808989,-0.952718889,4.78E-02,62.02564466,70.34621151,74.29069568,88.17197589,1233107.67,1146927,110840.67,757156,19,0,40420
Alpine Capital Bank,New York,NY,10019,6/30/16,15,263489,222210,220035,7000,0,34026,0,1787,16099,1884,13144,131538,12518,0,0,3714,8,0,0,0,0,0,0,0,0,0,0,220035,2.93561817,0.119606944,1.480404515,0.325875208,1.114536183,1.115854008,7.652009401,3.182607248,0,47.71812106,57.14181835,72.52653438,83.50822995,279248,275512.67,40721.33,141535.33,1,0,35620
Altamaha Bank and Trust Company,Vidalia,GA,30474,6/30/16,53,157240,140194,139848,200,0,32118,0,25642,29029,695,252,108922,8365,9142,406,27412,127,10059,168,317,317,153,0,0,164,0,0,139848,4.931729346,0.8018719,3.813346369,9.93E-02,1.374637543,1.428095669,13.40421719,1.26635207,0.116172578,68.38527092,76.88990904,79.97158985,88.93920122,157132.33,142911.33,16741,108459.33,4,0,
AltaPacific Bank,Santa Rosa,CA,95403,6/30/16,52,354126,296399,267188,43005,0,70653,0,43857,16806,3068,5801,232372,2704,767,36,53222,193,0,0,337,337,0,0,0,337,0,0,267188,6.22621418,0.326373842,3.817722537,5.68E-02,1.247599485,1.247599485,7.75217448,6.235598035,0,64.67669699,85.72128988,90.83435125,75.44998108,352356.67,320130.33,56706.67,232548.67,5,0,42220
Alterra Bank,Leawood,KS,66211,6/30/16,71,301488,261064,254277,2915,0,3416,0,1012,18747,3764,1908,241564,9,1076,55,30652,196,260,3,1527,1527,41,0,0,1486,0,0,254277,4.348405152,2.945126913,3.938600705,1.832697706,0.712425285,0.712425285,5.439619845,5.439619845,1.236645399,79.02735764,93.70017737,95.64484338,84.34067028,305997,280286.67,40076.33,245826.33,2,0,28140
Alton Bank,Alton,MO,65606,6/30/16,18,64218,56255,50434,150,0,24713,0,3712,10735,0,0,36380,5298,1823,90,6116,20,12117,319,107,107,107,0,0,0,0,0,50434,4.000325771,0.521163259,2.548229197,0,1.74200979,1.845666571,16.18958739,1.086040964,5.64E-03,55.70867981,70.93429036,71.52997161,78.53561307,69460,65444.67,7918.67,35487.33,2,0,
Altoona First Savings Bank,Altoona,PA,16603,6/30/16,43,205485,177567,175956,0,120,3317,0,12,71520,3500,21680,140978,7594,8681,246,33798,151,0,0,390,390,0,0,0,390,0,0,175956,3.398770577,0.417050806,2.698678411,8.55E-02,0.489961786,0.489961786,3.646008724,3.646008724,0.065069019,68.10034796,79.52897315,84.39691931,85.629608,205730.33,194011.33,27646.67,141388.33,5,0,11020
Altura State Bank,Altura,MN,55910,6/30/16,8,48170,40468,40338,100,0,6879,0,352,3638,50,0,29612,1316,928,43,1690,15,14216,137,0,0,0,0,0,0,0,0,40338,3.595109465,1.072943525,3.647176246,0,0.702819596,0.702819596,4.415414762,1.645983018,0.267833259,61.05875026,72.91387773,73.94966435,83.74091758,48092,43837.33,7655,29869.33,1,0,
Alva State Bank & Trust Company,Alva,OK,73717,6/30/16,36,315617,274400,255954,128,1500,42412,0,12872,10268,116,7747,255748,6855,5379,233,15815,89,52692,582,824,824,0,0,0,0,824,0,255954,3.89448714,0.222433937,1.533270648,0.243763219,2.201181868,2.242012207,18.94454819,18.94454819,-0.101817034,80.0875745,98.75602647,113.1974922,81.09639215,328187.33,316498.67,38839.67,257324.33,4,0,
Amalgamated Bank,New York,NY,10001,6/30/16,386,3930271,3581067,2943534,13829,0,1187110,82276,862876,601376,41784,0,2337404,3933,516,18,18777,59,0,0,2420,2420,2420,0,0,0,0,0,2943534,2.657610453,0.754352344,2.982000999,8.74E-02,0.185075986,0.268026006,3.069004116,3.069004116,0.169834704,58.62211537,78.27353107,84.49695332,74.89391953,3897383,3691511.67,340371,2322258,16,0,35620
Amalgamated Bank of Chicago,Chicago,IL,60603,6/30/16,178,840104,761964,742342,2200,0,174901,0,10375,47325,22922,8239,360310,45876,1313,32,27877,95,0,0,0,0,0,0,0,0,0,0,742342,2.656484366,2.365370708,4.234887258,0.156441072,0.302791237,0.314940579,3.566325958,2.012371292,9.86E-02,42.01741689,47.55085931,48.26976039,88.36310742,874450.67,824699,77222.33,377469.67,2,0,16980
Amarillo National Bank,Amarillo,TX,79101,6/30/16,687,3723269,3266330,3149651,5000,82148,245696,0,8430,237662,21134,9960,3022773,641879,92568,3091,230563,1416,13594,204,33,33,33,0,0,0,0,0,3149651,3.555773116,1.194124353,2.325538048,0.915511389,1.309967845,1.31499754,10.87381497,5.005512236,0.937832064,80.05709499,94.63718361,110.2918121,84.59369978,3737801.67,3528740.33,452021.67,3008641,20,0,11100
Ambler Savings Bank,Ambler,PA,19002,6/30/16,51,344449,305169,276967,0,0,93684,0,16227,165395,5312,2832,204719,122,646,18,15870,55,135,1,0,0,0,0,0,0,0,0,276967,2.876148278,6.70E-02,1.865012042,1.19E-03,0.740903321,0.740903321,6.511142969,6.511142969,2.68E-02,58.90393063,73.25565862,76.67487983,80.40871072,337156,316951.67,38365,201338.33,8,0,37980
Amboy Bank,Old Bridge,NJ,8857,6/30/16,268,2323577,2018644,1764328,20000,80000,361222,0,26173,478329,62090,77626,1783514,567,2279,57,57748,187,0,0,29653,29653,12895,158,0,16600,0,0,1764328,3.619182236,0.523963488,2.102556926,0,1.738071941,1.692805116,12.96281909,6.226099469,-2.46E-02,75.51340024,99.44930875,110.3386605,75.93154864,2297488.33,2105448,300027.33,1739656,23,0,35620
Amerasia Bank,Flushing,NY,11355,6/30/16,60,479037,425006,424130,3929,0,3222,0,215,82940,3917,73735,432850,378,913,26,75462,225,770,4,446,446,446,0,0,0,0,0,424130,4.637699535,0.140270978,1.779449653,8.48E-02,1.82309893,1.82309893,16.57899301,16.57899301,1.90E-02,89.66113265,101.268479,124.4613802,88.53804612,471943.67,453026.33,51897,421110.67,5,0,35620
America's Community Bank,Blue Springs,MO,64015,6/30/16,7,30099,26579,25537,100,0,266,0,0,4902,0,0,20492,138,2363,41,11316,52,689,3,0,0,0,0,0,0,0,0,25537,3.490779572,0.160090932,3.180937207,0,0.313221388,0.313221388,2.571428571,2.571428571,0,66.43077843,78.29815562,87.70890907,84.84335028,28733.67,27042.67,3500,19798.67,1,0,28140
American Bank,Fond Du Lac,WI,54935,6/30/16,83,451447,393245,376263,300,0,47106,0,10590,56470,16595,4862,326044,613,10948,472,49538,199,120,3,0,0,0,0,0,0,0,0,376263,3.749428112,0.62471197,2.270001501,0.186340203,1.035175642,1.035175642,8.484357955,8.484357955,-4.83E-03,70.12495376,84.13715938,90.14356819,83.34599632,465814.67,426198.33,56834,331039.33,6,0,22540
American Bank,Bozeman,MT,59715,6/30/16,65,348142,310179,302045,14000,0,23517,0,11250,62248,7733,37802,261130,1885,2658,111,31689,139,2245,28,1310,1310,0,0,0,1310,0,0,302045,4.156897504,2.784482286,3.13423767,0,3.320133505,3.320133505,33.97088482,31.65836714,-4.70E-03,74.07264852,85.37734444,87.70853386,86.75913851,353961.67,312492.67,34594.33,255408.33,6,0,
American Bank,Allentown,PA,18104,6/30/16,54,557824,500519,422434,10034,0,64727,0,16969,66600,5781,15791,414153,675,5827,188,96435,373,0,0,0,0,0,0,0,0,0,0,422434,2.845183669,9.81E-02,1.44756816,0.135631232,0.834765498,0.835259353,8.260923425,3.787141416,0,73.17935406,96.63332023,101.1141551,75.72890374,558868.33,529737.33,56507,410024.33,1,0,10900
American Bank & Trust,Wessington Sprin,SD,57382,6/30/16,136,634060,557056,520829,1291,0,144800,1006,75918,10111,837,2834,435885,15794,9469,354,43455,216,79317,750,392,392,0,0,0,392,0,0,520829,3.576949943,0.764192726,2.77413317,0.162248986,1.037153931,1.038069015,8.596727358,-3.899297092,0.539413657,67.89057818,82.65035165,87.09252545,82.14191086,616336.67,563608.67,74423.67,410445.67,10,0,
American Bank & Trust Company,Opelousas,LA,70570,6/30/16,50,179422,158599,153995,600,0,55211,0,21673,43015,2163,1077,111302,7712,4494,190,29222,127,260,1,0,0,0,0,0,0,0,0,153995,3.608539364,0.554219301,2.527674696,8.58E-02,1.309478938,1.309478938,12.12680512,7.628313926,-2.23E-02,61.30853519,71.43153999,72.85606422,85.82838225,184042.67,171814.67,19873.33,107638,8,0,
American Bank & Trust Company,Covington,LA,70433,6/30/16,42,112872,101584,101258,1156,2471,10313,0,3,19637,1956,0,67249,2924,3454,137,16836,72,3255,44,598,598,0,0,40,558,0,0,101258,3.80991815,1.612359052,4.378939892,3.55E-02,0.271686052,0.271686052,2.733118971,2.733118971,0.18846647,58.94641718,65.7074009,67.56367034,89.7104685,112630,94962.67,11196,64733,4,0,35380
American Bank & Trust Company  Inc.,Bowling Green,KY,42103,6/30/16,69,290555,263349,262388,1200,0,24905,0,14251,115765,13384,2691,232295,6916,6684,285,33558,162,3870,33,536,536,0,0,416,120,0,0,262388,3.644896424,0.539202713,2.835358087,0.179061076,0.653640243,0.653640243,7.277314004,5.403649224,1.69E-02,79.00225431,87.48304038,92.1123912,90.30579408,297105.33,283684.33,26685.67,225166,5,0,14540
American Bank & Trust of the Cumberlands,Livingston,TN,38570,6/30/16,48,216032,198621,192040,343,0,9607,0,5995,71079,6670,432,168569,13836,9073,374,36094,164,6114,60,40,40,0,0,0,40,0,0,192040,3.964473774,0.644160111,2.897770413,0,1.332071806,1.345325542,16.61744609,3.70841311,-1.07E-02,77.13348023,86.76994376,97.1394427,88.89423789,210506.67,195536.67,17042.33,168633.67,3,0,
American Bank & Trust Wisconsin,Cuba City,WI,53807,6/30/16,34,150678,131552,125150,200,0,14338,0,2161,14391,2959,4566,114641,4723,3755,146,10445,61,48017,573,152,152,0,0,0,152,0,0,125150,3.722924277,0.331953918,2.600751862,8.03E-02,0.733511076,0.733511076,5.807751759,3.688134329,0,75.04280651,90.34998002,92.18258303,83.05791157,149418.33,138869.33,18871.33,116170.67,5,0,
American Bank and Trust Company,Tulsa,OK,74135,6/30/16,41,185748,163159,150678,1124,0,69766,0,0,6227,203,4446,91622,1231,1439,45,13181,55,173,2,0,0,0,0,0,0,0,0,150678,3.593448832,1.112726488,3.112140843,0,0.685718983,0.827095866,7.279906058,5.245149706,0,49.1789952,60.62530695,68.40828247,81.11958137,194657,169864.67,22115.67,90728.67,2,0,46140
American Bank and Trust Company  National Association,Davenport,IA,52807,6/30/16,116,332449,296372,295193,1600,12487,68453,0,32679,83658,10071,17946,228991,2167,1808,58,37927,141,0,0,3594,3594,0,0,1283,2311,0,0,295193,3.366024286,1.524191123,4.563402545,0,4.89E-02,8.01E-02,0.73922196,0.73922196,-0.349350956,67.65699401,76.1959125,78.30532549,88.79346907,327124.33,300116.67,35442.67,223843.67,9,0,19340
American Bank Center,Dickinson,ND,58601,6/30/16,346,1331156,1212371,1143206,400,9230,419624,0,13108,74147,13575,8754,841419,135024,7739,288,81203,346,75240,661,208,208,208,0,0,0,0,0,1143206,3.597740507,1.411611493,3.137202469,0.245663402,1.045565399,1.045784987,11.44354152,-7.008293147,0.547017232,62.43648378,72.70142039,73.94664377,85.88069317,1311550.67,1245948.67,119858,826665,17,0,
American Bank of Baxter Springs,Baxter Springs,KS,66713,6/30/16,31,90155,80531,80424,500,0,31001,0,4830,7101,133,6893,35736,1272,660,27,10299,35,3339,49,721,721,0,0,529,192,0,0,80424,2.511277817,0.578878655,2.878985857,0,1.98E-02,0.191492179,1.859039902,1.859039902,1.163772098,36.17769397,40.55505819,43.14685222,89.20636681,90865.33,83941.33,9359.67,37120.67,3,0,
American Bank of Commerce,Wolfforth,TX,79382,6/30/16,164,791592,715662,690554,320,0,227521,0,14137,63977,3941,23153,517935,5008,7716,364,78880,354,5214,54,2339,2339,0,0,2339,0,0,0,690554,3.555942217,0.184636393,2.689758423,2.20E-02,0.553397721,0.553397721,5.806512202,3.286958155,2.48E-02,64.60360893,74.05604775,79.55276585,87.23610143,782077.67,726446,74537,499435.67,16,0,31180
American Bank of Commerce,Provo,UT,84604,6/30/16,28,76359,65452,65024,1523,0,0,0,0,5710,1828,3288,53370,971,1666,46,19278,105,0,0,0,0,0,0,0,0,0,0,65024,5.322524328,2.01741011,5.089438747,0.445221542,1.001748468,1.001748468,6.725621723,6.725621723,1.236928311,69.09729043,81.14234744,86.52345031,85.15564635,71874.33,65871,10705.33,48992.33,4,0,39340
American Bank of Missouri,Wellsville,MO,63384,6/30/16,50,184758,164665,148987,155,6976,9179,0,2760,62628,1828,2869,152087,505,1723,67,27581,90,2233,27,674,674,496,0,0,178,0,0,148987,3.860516095,1.010869608,3.252263086,1.04E-02,0.767524888,0.778565102,6.874492283,6.874492283,-5.60E-03,81.38483855,100.9249129,112.4115039,80.63899804,173909.67,157284.67,19696,142777.67,7,0,
American Bank of Oklahoma,Collinsville,OK,74021,6/30/16,75,249738,225323,197611,0,0,160,0,0,43409,29,3263,204178,36921,16510,598,51309,258,13590,252,125,125,125,0,0,0,0,0,197611,4.528750637,0.848576967,3.753571298,0.191823912,0.733157495,0.733157495,7.544013716,4.173462134,0.044305511,81.2327319,102.6607831,109.9966383,79.12732544,246059,223682,23913,203135,5,0,46140
American Bank of Texas,Sherman,TX,75090,6/30/16,476,2336628,1988961,1983749,4000,0,549927,0,193341,119922,3177,17525,1519021,18267,13053,543,83871,402,13679,204,37584,37584,0,0,10090,27494,0,0,1983749,3.93309106,0.579909831,2.091403444,0,1.474525758,1.483060766,10.20824464,6.365001656,3.82E-03,64.09137441,75.49226238,77.64845388,84.8979384,2328293,2162421.33,338256,1467670.33,35,0,43300
